aglomerado,provincia,cruza_provincias,localidades,nota
2,Buenos Aires,False,La Plata,
3,Buenos Aires,False,Bahia Blanca / Cerri,
4,Santa Fe,False,Rosario,
5,Santa Fe,False,Santa Fe,
6,Entre Rios,False,Parana,
7,Misiones,False,Posadas,
8,Chaco,False,Resistencia,
9,Chubut,False,Comodoro Rivadavia / Rada Tilly,
10,Mendoza,False,Mendoza,
12,Corrientes,False,Corrientes,
13,Cordoba,False,Cordoba,
14,Entre Rios,False,Concordia,
15,Formosa,False,Formosa,
17,Neuquen,False,Neuquen / Plottier,
18,Santiago del Estero,False,Santiago del Estero / La Banda,
19,Jujuy,False,San Salvador de Jujuy / Palpala,
20,Santa Cruz,False,Rio Gallegos,
22,Catamarca,False,San Fernando del Valle de Catamarca,
23,Salta,False,Salta,
25,La Rioja,False,La Rioja,
26,San Luis,False,San Luis / El Chorrillo,
27,San Juan,False,San Juan,
29,Tucuman,False,San Miguel de Tucuman / Tafi Viejo,
30,La Pampa,False,Santa Rosa / Toay,
31,"Tierra del Fuego, Antartida e Islas del Atlantico Sur",False,Ushuaia / Rio Grande,
32,Ciudad Autonoma de Buenos Aires,False,Ciudad de Buenos Aires,
33,Buenos Aires,False,Partidos del Gran Buenos Aires,
34,Buenos Aires,False,Mar del Plata / Batan,
36,Cordoba,False,Rio Cuarto,
38,Buenos Aires,True,San Nicolas de los Arroyos (Buenos Aires) / Villa Constitucion (Santa Fe),Asignado a la provincia de la localidad cabecera. DECISION ABIERTA: ver src/11_puente_geografico.py
91,Chubut,False,Rawson / Trelew,
93,Rio Negro,True,Viedma (Rio Negro) / Carmen de Patagones (Buenos Aires),Asignado a la provincia de la localidad cabecera. DECISION ABIERTA: ver src/11_puente_geografico.py
